Private Konsumausgaben, preisbereinigt
Datum;Originalwert, Kettenindex 2020=100;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Kettenindex 2020=100;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorquartal in %
01/04/2007;93,01;0,1;94,10;0,7
01/07/2007;94,71;0,0;94,02;-0,1
01/10/2007;96,94;-0,8;93,90;-0,1
01/01/2008;90,73;0,2;94,15;0,3
01/04/2008;93,49;0,5;93,78;-0,4
01/07/2008;95,00;0,3;93,84;0,1
01/10/2008;96,21;-0,8;93,31;-0,6
01/01/2009;90,45;-0,3;94,07;0,8
01/04/2009;93,51;0,0;94,42;0,4
01/07/2009;95,38;0,4;94,11;-0,3
01/10/2009;97,45;1,3;94,21;0,1
01/01/2010;90,21;-0,3;93,62;-0,6
01/04/2010;93,53;0,0;94,52;1,0
01/07/2010;96,34;1,0;94,98;0,5
01/10/2010;98,84;1,4;95,44;0,5
01/01/2011;91,52;1,5;95,21;-0,2
01/04/2011;95,19;1,8;95,62;0,4
01/07/2011;97,37;1,1;95,98;0,4
01/10/2011;99,31;0,5;96,24;0,3
01/01/2012;93,85;2,5;96,69;0,5
01/04/2012;95,92;0,8;96,90;0,2
01/07/2012;98,27;0,9;97,20;0,3
01/10/2012;99,67;0,4;96,75;-0,5
01/01/2013;92,69;-1,2;96,43;-0,3
01/04/2013;96,47;0,6;97,31;0,9
01/07/2013;99,09;0,8;97,69;0,4
01/10/2013;99,77;0,1;96,99;-0,7
01/01/2014;93,50;0,9;97,29;0,3
01/04/2014;96,86;0,4;97,69;0,4
01/07/2014;99,76;0,7;98,45;0,8
01/10/2014;101,78;2,0;98,93;0,5
01/01/2015;95,89;2,6;99,36;0,4
01/04/2015;98,69;1,9;99,84;0,5
01/07/2015;101,71;2,0;100,46;0,6
01/10/2015;104,65;2,8;101,26;0,8
01/01/2016;98,41;2,6;101,93;0,7
01/04/2016;101,71;3,1;101,76;-0,2
01/07/2016;103,39;1,7;102,27;0,5
01/10/2016;106,38;1,7;103,02;0,7
01/01/2017;100,32;1,9;103,30;0,3
01/04/2017;103,23;1,5;104,14;0,8
01/07/2017;104,90;1,5;104,11;-0,0
01/10/2017;107,60;1,1;104,94;0,8
01/01/2018;102,05;1,7;105,14;0,2
01/04/2018;104,54;1,3;105,47;0,3
01/07/2018;105,95;1,0;105,43;-0,0
01/10/2018;109,38;1,7;106,35;0,9
01/01/2019;103,39;1,3;106,86;0,5
01/04/2019;106,20;1,6;107,18;0,3
01/07/2019;108,74;2,6;107,81;0,6
01/10/2019;110,64;1,2;107,72;-0,1
01/01/2020;100,65;-2,7;103,24;-4,2
01/04/2020;91,36;-14,0;92,28;-10,6
01/07/2020;103,86;-4,5;102,99;11,6
01/10/2020;104,13;-5,9;100,90;-2,0
01/01/2021;94,82;-5,8;97,29;-3,6
01/04/2021;98,69;8,0;99,78;2,6
01/07/2021;105,47;1,6;104,70;4,9
01/10/2021;108,90;4,6;105,38;0,6
01/01/2022;105,46;11,2;108,25;2,7
01/04/2022;107,97;9,4;108,46;0,2
01/07/2022;110,10;4,4;109,34;0,8
01/10/2022;110,98;1,9;107,75;-1,5
01/01/2023;105,53;0,1;107,57;-0,2
01/04/2023;107,39;-0,5;108,52;0,9
01/07/2023;108,38;-1,6;107,96;-0,5
01/10/2023;110,38;-0,5;107,73;-0,2
01/01/2024;105,97;0,4;108,19;0,4
01/04/2024;107,29;-0,1;108,27;0,1
01/07/2024;109,17;0,7;108,65;0,4
01/10/2024;111,51;1,0;108,88;0,2
01/01/2025;107,23;1,2;110,03;1,1
01/04/2025;109,09;1,7;110,11;0,1
01/07/2025;110,23;1,0;109,81;-0,3
01/10/2025;113,21;1,5;110,48;0,6
01/01/2026;108,12;0,8;110,52;0,0
