Volumenindex des Auftragseingangs, Tiefbau
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/02/2000;75,2;-2,3;97,3;-1,0;98,1;-2,2;0,8
01/03/2000;111,2;0,8;96,4;-1,0;99,9;1,8;3,5
01/04/2000;98,5;-7,9;95,3;-1,1;96,5;-3,4;1,2
01/05/2000;106,3;-3,8;94,3;-1,1;92,3;-4,4;-2,1
01/06/2000;110,2;-11,0;93,6;-0,8;91,8;-0,5;-1,8
01/07/2000;102,2;-15,4;93,1;-0,6;92,1;0,4;-1,0
01/08/2000;100,6;-10,3;92,8;-0,3;90,4;-1,8;-2,3
01/09/2000;106,5;-13,9;92,7;-0,1;91,0;0,6;-1,7
01/10/2000;97,3;-4,8;92,7;-0,0;95,2;4,6;2,5
01/11/2000;81,1;-0,2;92,7;0,0;93,7;-1,5;1,0
01/12/2000;82,7;-6,7;92,6;-0,1;95,0;1,3;2,4
01/01/2001;54,6;-12,5;92,6;-0,0;89,4;-5,9;-3,2
01/02/2001;71,5;-4,9;92,6;0,1;93,7;4,8;1,0
01/03/2001;100,7;-9,4;92,8;0,2;90,2;-3,7;-2,6
01/04/2001;95,5;-3,0;93,1;0,3;91,7;1,7;-1,4
01/05/2001;109,8;3,3;93,4;0,3;97,2;6,0;3,8
01/06/2001;117,2;6,4;93,6;0,2;95,8;-1,4;2,2
01/07/2001;100,1;-2,1;93,8;0,2;93,1;-2,8;-0,7
01/08/2001;104,9;4,3;93,9;0,1;95,8;2,9;1,9
01/09/2001;102,6;-3,7;94,0;0,1;91,0;-5,1;-3,0
01/10/2001;95,7;-1,6;94,1;0,1;91,3;0,3;-2,8
01/11/2001;84,2;3,8;94,3;0,2;94,6;3,7;0,3
01/12/2001;77,3;-6,5;94,5;0,2;93,5;-1,1;-0,9
01/01/2002;62,8;15,0;94,6;0,2;96,4;3,1;1,8
01/02/2002;71,4;-0,1;94,8;0,2;94,5;-1,9;-0,2
01/03/2002;103,5;2,8;94,9;0,1;97,2;2,8;2,4
01/04/2002;106,4;11,4;95,0;0,1;98,1;0,9;3,1
01/05/2002;98,6;-10,2;94,8;-0,1;92,6;-5,6;-2,2
01/06/2002;114,5;-2,3;94,6;-0,3;93,4;0,9;-1,2
01/07/2002;104,4;4,3;94,3;-0,3;91,8;-1,8;-2,6
01/08/2002;98,1;-6,5;93,9;-0,4;92,5;0,8;-1,4
