Volumenindex des Auftragseingangs, Bauhauptgewerbe insgesamt
Datum;Originalwert, 2021=100;Originalwert, Veränderung gegenüber Vorjahresmonat in %;Trend-Konjunktur-Komponente (BV 4.1), 2021=100;Trend-Konjunktur-Komponente (BV 4.1), Veränderung gegenüber Vormonat in %;Kalender- und saisonbereinigte Werte (BV 4.1), 2021=100;Kalender- und saisonbereinigte Werte (BV 4.1), Veränderung gegenüber Vormonat in %;Restkomponente (BV 4.1)
01/07/2003;92,8;-3,1;80,2;-0,4;83,0;3,7;2,8
01/08/2003;79,9;-9,7;79,9;-0,5;78,9;-4,9;-0,9
01/09/2003;93,0;-8,6;79,4;-0,5;78,9;0,0;-0,5
01/10/2003;80,9;-5,2;79,0;-0,5;80,0;1,4;1,0
01/11/2003;69,2;-8,1;78,6;-0,6;79,4;-0,8;0,9
01/12/2003;69,9;-12,3;78,0;-0,7;76,5;-3,7;-1,5
01/01/2004;53,2;-7,6;77,5;-0,7;78,1;2,1;0,6
01/02/2004;66,3;2,2;76,9;-0,8;80,0;2,5;3,1
01/03/2004;84,5;-3,8;76,2;-0,9;75,8;-5,3;-0,4
01/04/2004;78,0;-6,5;75,3;-1,1;76,7;1,2;1,3
01/05/2004;74,3;-11,3;74,5;-1,1;73,1;-4,6;-1,4
01/06/2004;91,1;-3,0;73,8;-1,1;73,8;1,0;0,1
01/07/2004;78,2;-15,7;72,9;-1,1;71,3;-3,5;-1,7
01/08/2004;76,8;-3,9;72,2;-1,0;72,2;1,2;-0,0
01/09/2004;86,2;-7,3;71,6;-0,8;71,5;-0,9;-0,1
01/10/2004;73,2;-9,5;71,1;-0,8;71,6;0,1;0,5
01/11/2004;61,8;-10,7;70,7;-0,5;70,4;-1,7;-0,3
01/12/2004;68,7;-1,7;70,5;-0,3;70,7;0,5;0,2
01/01/2005;45,6;-14,3;70,5;-0,1;71,2;0,6;0,7
01/02/2005;51,0;-23,1;70,6;0,1;68,2;-4,2;-2,4
01/03/2005;76,8;-9,1;70,8;0,3;71,4;4,6;0,6
01/04/2005;71,4;-8,5;71,1;0,5;68,7;-3,7;-2,4
01/05/2005;76,1;2,4;71,5;0,5;71,7;4,4;0,2
01/06/2005;90,0;-1,2;71,9;0,6;72,2;0,6;0,3
01/07/2005;78,4;0,3;72,3;0,6;71,8;-0,5;-0,5
01/08/2005;82,8;7,8;72,8;0,7;75,0;4,5;2,2
01/09/2005;88,9;3,1;73,3;0,7;74,5;-0,7;1,2
01/10/2005;71,1;-2,9;73,8;0,6;73,6;-1,2;-0,1
01/11/2005;66,9;8,3;74,3;0,7;74,3;0,9;0,1
01/12/2005;73,4;6,8;74,6;0,5;76,3;2,7;1,7
01/01/2006;49,6;8,8;74,8;0,3;72,6;-4,8;-2,2
01/02/2006;57,3;12,4;74,9;0,2;75,3;3,6;0,3
01/03/2006;82,5;7,4;75,0;0,0;73,1;-2,9;-1,9
01/04/2006;75,6;5,9;75,0;0,0;75,7;3,6;0,7
01/05/2006;85,1;11,8;75,1;0,1;76,5;1,0;1,4
01/06/2006;90,4;0,4;75,1;0,0;75,8;-0,9;0,8
01/07/2006;82,7;5,5;75,2;0,2;76,5;0,8;1,2
01/08/2006;81,7;-1,3;75,5;0,3;76,0;-0,7;0,5
01/09/2006;85,8;-3,5;75,5;0,0;75,5;-0,6;0,1
01/10/2006;71,9;1,1;75,6;0,2;72,0;-4,7;-3,6
01/11/2006;67,3;0,6;75,8;0,2;75,6;5,0;-0,2
01/12/2006;66,3;-9,7;75,8;0,1;73,6;-2,7;-2,3
01/01/2007;57,3;15,5;76,1;0,3;76,5;3,9;0,4
01/02/2007;59,4;3,7;76,4;0,4;77,7;1,5;1,3
01/03/2007;87,5;6,1;76,6;0,3;78,5;1,0;1,8
01/04/2007;80,3;6,2;77,0;0,5;78,2;-0,3;1,2
01/05/2007;83,0;-2,5;77,4;0,4;77,5;-0,9;0,2
01/06/2007;88,6;-2,0;77,7;0,5;75,9;-2,1;-1,8
01/07/2007;86,1;4,1;78,1;0,5;76,4;0,6;-1,8
01/08/2007;78,5;-3,9;78,5;0,4;76,3;-0,1;-2,2
01/09/2007;83,5;-2,7;78,8;0,5;76,0;-0,4;-2,8
