Arbeitnehmer/-innen im Inland
Datum;Originalwert, in 1000;Originalwert, Veränderung gegenüber Vorquartal in %;Originalwert, Veränderung gegenüber Vorjahresquartal in %;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, in 1000;Saison- und kalenderbereinigte Werte nach X 13 JDemetra+, Veränderung gegenüber Vorsquartal in %
01/10/2021;41581;0,8;1,3;41374
01/01/2022;41348;-0,6;1,8;41575
01/04/2022;41667;0,8;1,8;41702
01/07/2022;41843;0,4;1,4;41789
01/10/2022;42110;0,6;1,3;41903
01/01/2023;41798;-0,7;1,1;42024
01/04/2023;42069;0,6;1,0;42096
01/07/2023;42168;0,2;0,8;42123
01/10/2023;42358;0,5;0,6;42153
01/01/2024;41963;-0,9;0,4;42189
01/04/2024;42209;0,6;0,3;42227
01/07/2024;42262;0,1;0,2;42223
01/10/2024;42445;0,4;0,2;42242
01/01/2025;42023;-1,0;0,1;42248
01/04/2025;42228;0,5;0,0;42240
01/07/2025;42237;0,0;-0,1;42203
01/10/2025;42366;0,3;-0,2;42165
01/01/2026;41897;-1,1;-0,3;42122
01/04/2026;42074;0,4;-0,4;42083
