Volumenindex des Umsatzes im Verarbeitenden Gewerbe, aktueller Monat vorläufig
Datum;Verarbeitendes Gewerbe, 2021=100;Vorleistungsgüter, 2021=100;Investitionsgüter, 2021=100;Gebrauchsgüter, 2021=100;Verbrauchsgüter, 2021=100
01/08/2009;74,9;76,8;64,6;66,1;96,6
01/09/2009;94,6;90,0;93,6;92,7;104,5
01/10/2009;91,2;90,7;86,1;91,9;102,6
01/11/2009;91,4;88,8;88,7;92,8;102,1
01/12/2009;84,3;73,8;86,6;77,7;100,0
01/01/2010;74,2;78,4;64,0;74,3;89,5
01/02/2010;81,6;82,2;76,9;82,9;90,2
01/03/2010;100,1;98,9;97,3;96,2;108,7
01/04/2010;88,9;90,5;84,3;83,5;95,1
01/05/2010;88,9;89,4;85,6;80,8;93,8
01/06/2010;99,4;98,7;98,8;91,0;99,8
01/07/2010;91,5;93,8;86,1;80,8;98,9
01/08/2010;86,1;90,1;76,9;74,8;98,8
01/09/2010;101,2;100,4;99,5;100,9;104,4
01/10/2010;98,6;97,8;97,1;96,3;100,2
01/11/2010;103,6;100,2;105,3;99,9;103,4
01/12/2010;97,6;83,2;108,5;84,0;99,5
01/01/2011;85,8;91,9;78,0;81,4;90,7
01/02/2011;93,2;96,0;89,6;89,6;94,3
01/03/2011;109,5;110,0;108,9;105,3;109,1
01/04/2011;94,4;96,3;90,8;88,0;98,3
01/05/2011;105,0;107,6;102,6;97,7;103,2
01/06/2011;97,6;99,0;96,3;84,0;98,8
01/07/2011;97,0;98,7;94,6;86,9;97,8
01/08/2011;95,4;98,6;89,2;80,2;103,7
01/09/2011;107,3;105,2;109,0;103,7;106,9
01/10/2011;97,8;96,6;96,7;94,1;100,2
01/11/2011;105,5;101,4;108,3;102,0;105,4
01/12/2011;97,2;84,1;106,3;83,8;100,6
01/01/2012;89,7;94,7;83,2;86,2;94,5
01/02/2012;96,6;95,2;97,5;91,8;96,0
01/03/2012;108,5;104,9;111,7;100,2;108,1
01/04/2012;93,4;94,0;92,2;82,9;93,8
01/05/2012;98,9;98,7;98,2;87,5;100,4
01/06/2012;101,1;100,0;102,9;88,4;99,8
01/07/2012;99,0;98,8;98,7;84,9;100,1
01/08/2012;94,6;95,5;90,4;80,4;103,3
01/09/2012;98,2;94,8;99,9;92,5;99,7
01/10/2012;101,4;99,8;100,1;95,0;107,3
01/11/2012;102,3;97,8;104,5;93,5;106,2
01/12/2012;87,2;73,1;96,0;71,1;94,9
01/01/2013;88,6;93,1;81,0;83,7;97,4
01/02/2013;90,2;89,3;89,6;85,7;92,6
01/03/2013;99,7;95,6;103,0;90,2;99,5
01/04/2013;100,8;98,1;103,3;91,2;99,0
01/05/2013;94,7;94,7;93,0;81,3;98,3
01/06/2013;99,4;96,3;102,6;88,2;95,5
01/07/2013;100,3;99,9;99,1;85,8;103,7
01/08/2013;90,9;90,9;87,4;73,7;99,9
01/09/2013;102,9;97,9;106,3;96,3;103,2
01/10/2013;103,3;101,5;103,0;96,0;106,6
01/11/2013;103,7;96,6;109,6;93,5;103,8
01/12/2013;92,6;77,4;103,8;75,6;97,3
01/01/2014;93,1;95,6;89,0;84,0;98,3
01/02/2014;96,0;94,7;97,7;88,1;94,2
01/03/2014;104,7;100,6;108,6;95,1;102,0
01/04/2014;99,6;97,9;100,2;88,9;101,7
01/05/2014;98,1;96,1;99,9;84,6;97,7
01/06/2014;99,1;95,8;103,4;84,6;97,4
01/07/2014;104,7;102,0;107,9;87,3;104,7
01/08/2014;87,2;88,1;83,0;70,9;96,1
01/09/2014;107,8;102,0;113,9;98,4;105,8
01/10/2014;106,0;101,9;109,4;95,9;105,7
01/11/2014;103,0;94,3;111,4;93,3;99,8
01/12/2014;96,8;80,6;109,5;81,2;99,8
01/01/2015;89,7;92,6;86,0;82,0;93,4
01/02/2015;95,4;93,5;98,2;89,7;92,4
01/03/2015;110,9;105,4;117,5;100,9;106,5
01/04/2015;101,3;98,2;105,4;90,2;97,6
01/05/2015;94,9;92,0;98,0;82,2;93,5
01/06/2015;108,3;103,7;114,9;94,6;102,5
01/07/2015;106,6;102,2;111,7;88,4;104,7
01/08/2015;90,1;89,2;88,6;77,7;96,4
01/09/2015;108,7;102,2;116,1;102,1;104,1
01/10/2015;108,2;100,9;116,2;99,1;103,6
01/11/2015;106,4;98,2;114,8;100,2;102,6
01/12/2015;100,0;82,0;114,6;83,0;102,6
01/01/2016;87,8;90,1;84,4;81,2;91,2
01/02/2016;100,9;97,7;105,3;94,8;96,7
01/03/2016;108,3;102,1;115,4;97,1;104,4
01/04/2016;105,9;101,0;113,3;96,9;97,3
01/05/2016;99,1;95,8;102,1;84,7;99,0
01/06/2016;111,0;105,3;119,0;101,9;103,6
01/07/2016;96,5;94,3;98,5;80,8;97,2
01/08/2016;98,3;96,5;98,0;84,2;103,3
01/09/2016;110,8;103,6;118,4;104,3;106,9
01/10/2016;100,9;95,3;106,4;94,4;97,7
01/11/2016;110,9;102,6;119,8;102,2;106,3
01/12/2016;101,2;84,7;115,4;89,0;100,3
01/01/2017;94,4;97,3;91,4;91,1;94,7
01/02/2017;98,9;96,3;102,3;94,0;94,7
01/03/2017;119,1;113,3;127,7;112,0;109,7
01/04/2017;98,3;95,3;102,1;88,5;94,6
01/05/2017;109,3;106,7;113,8;100,2;105,3
01/06/2017;109,1;104,8;115,9;99,1;102,8
01/07/2017;101,8;100,2;104,5;86,8;99,5
01/08/2017;104,2;102,3;104,9;90,8;105,3
01/09/2017;112,6;105,7;120,3;105,3;106,7
01/10/2017;104,4;101,8;106,5;98,2;103,4
01/11/2017;118,6;110,2;128,7;109,0;111,2
01/12/2017;105,0;88,9;120,6;85,6;100,3
01/01/2018;101,5;105,3;98,2;96,2;100,6
01/02/2018;100,9;99,7;103,0;95,0;97,4
01/03/2018;114,5;108,5;121,5;106,7;109,7
01/04/2018;108,0;103,2;115,1;96,3;100,7
01/05/2018;105,8;103,7;108,7;93,2;102,6
01/06/2018;114,2;109,2;121,5;103,6;106,8
01/07/2018;105,9;103,6;108,3;88,8;105,6
01/08/2018;102,8;102,2;101,3;86,7;109,9
01/09/2018;106,2;102,0;110,4;99,7;105,6
01/10/2018;111,2;107,3;115,7;105,2;108,4
01/11/2018;112,2;105,6;120,4;106,1;107,2
01/12/2018;97,7;80,3;113,7;82,2;95,0
01/01/2019;101,1;102,5;100,0;94,5;100,8
01/02/2019;102,7;98,4;108,9;96,4;96,0
01/03/2019;112,5;105,3;121,7;104,3;104,3
