ILO-Arbeitsmarktstatistik
Datum;Erwerbslosenquoten Männer insgesamt, in %;Erwerbslosenquoten Männer unter 25 Jahren, in %;Erwerbslosenquoten Männer ab 25 Jahren, in %;Erwerbslosenquoten Frauen insgesamt, in %;Erwerbslosenquoten Frauen unter 25 Jahren, in %;Erwerbslosenquoten Frauen ab 25 Jahren, in %
01/06/2020;4,2;9,9;3,5;3,4;8,1;2,9
01/07/2020;4,3;9,0;3,8;3,6;9,0;3,1
01/08/2020;4,2;10,0;3,6;3,5;8,2;3,0
01/09/2020;4,0;8,9;3,4;3,5;7,1;3,0
01/10/2020;3,6;7,3;3,2;3,1;6,8;2,7
01/11/2020;4,3;8,5;3,9;3,3;7,8;2,8
01/12/2020;4,0;7,9;3,5;3,0;6,8;2,5
01/01/2021;4,5;8,0;4,1;3,7;7,3;3,3
01/02/2021;4,6;7,2;4,3;3,8;8,4;3,3
01/03/2021;4,3;8,4;3,8;3,6;8,3;3,1
01/04/2021;4,1;7,7;3,7;3,6;7,7;3,2
01/05/2021;4,1;7,2;3,7;3,3;6,3;3,0
01/06/2021;3,9;7,8;3,5;3,0;5,8;2,7
01/07/2021;3,6;8,2;3,1;3,1;7,1;2,7
01/08/2021;3,7;8,3;3,2;2,9;7,6;2,4
01/09/2021;3,7;6,6;3,4;3,0;6,2;2,6
01/10/2021;3,4;6,8;3,0;2,8;4,2;2,6
01/11/2021;3,8;6,9;3,5;2,9;5,1;2,6
01/12/2021;3,6;5,7;3,3;2,8;4,4;2,6
01/01/2022;3,9;5,6;3,7;3,1;5,1;2,9
01/02/2022;3,4;5,8;3,1;2,8;4,4;2,7
01/03/2022;3,4;6,2;3,1;2,7;4,2;2,5
01/04/2022;3,5;7,1;3,1;3,1;5,3;2,9
01/05/2022;3,0;6,0;2,7;2,8;4,6;2,6
01/06/2022;3,6;7,9;3,1;2,7;5,8;2,3
01/07/2022;3,6;8,7;3,0;3,1;8,6;2,6
01/08/2022;3,4;7,1;2,9;3,0;5,9;2,6
01/09/2022;3,4;6,0;3,1;2,8;6,0;2,4
01/10/2022;3,3;6,2;3,0;2,8;5,5;2,5
01/11/2022;3,1;5,8;2,8;2,8;4,9;2,6
01/12/2022;3,1;4,9;2,9;2,8;5,5;2,4
01/01/2023;3,3;5,5;3,0;3,0;5,1;2,8
01/02/2023;3,5;6,7;3,1;2,8;5,0;2,5
01/03/2023;3,2;6,4;2,9;2,8;5,1;2,5
01/04/2023;3,3;7,6;2,8;2,9;5,1;2,7
01/05/2023;3,2;5,9;2,8;2,5;4,4;2,3
01/06/2023;3,3;7,1;2,9;2,8;5,9;2,4
01/07/2023;3,2;6,2;2,9;2,8;6,2;2,4
01/08/2023;3,5;7,2;3,1;3,0;5,2;2,7
01/09/2023;3,2;6,5;2,8;2,8;6,1;2,4
01/10/2023;3,3;6,6;2,9;3,0;6,8;2,6
01/11/2023;3,3;6,7;2,9;2,8;4,7;2,6
01/12/2023;3,2;5,4;3,0;2,7;3,7;2,6
01/01/2024;3,2;5,8;3,0;3,1;5,3;2,8
01/02/2024;4,0;6,5;3,7;3,1;6,1;2,7
01/03/2024;3,5;6,7;3,2;3,4;5,0;3,2
01/04/2024;3,4;6,4;3,0;3,0;5,2;2,8
01/05/2024;3,9;8,2;3,4;3,2;6,4;2,8
01/06/2024;3,8;8,6;3,2;3,0;6,2;2,7
01/07/2024;3,8;8,1;3,4;3,4;8,6;2,8
01/08/2024;4,0;8,0;3,5;3,5;7,8;3,0
01/09/2024;3,4;7,6;2,9;2,9;4,8;2,7
01/10/2024;3,3;7,0;2,9;3,1;6,0;2,8
01/11/2024;3,5;6,3;3,2;3,1;5,0;2,9
01/12/2024;3,4;6,0;3,1;2,9;4,5;2,8
01/01/2025;4,0;7,1;3,6;3,4;7,2;3,0
01/02/2025;3,9;6,5;3,6;3,5;5,8;3,2
01/03/2025;4,0;7,7;3,5;3,4;6,8;3,0
01/04/2025;4,0;7,7;3,6;3,5;6,7;3,2
01/05/2025;4,0;6,1;3,8;3,4;5,4;3,2
01/06/2025;4,0;6,8;3,7;3,1;5,1;2,9
01/07/2025;4,3;8,9;3,8;3,3;6,7;2,9
01/08/2025;4,3;9,9;3,7;3,5;7,8;3,1
01/09/2025;4,2;7,7;3,8;3,9;8,6;3,3
01/10/2025;3,8;7,0;3,4;3,4;6,4;3,1
01/11/2025;4,1;7,5;3,7;3,5;6,1;3,2
01/12/2025;4,1;5,9;3,9;3,3;6,0;3,0
01/01/2026;4,3;8,7;3,8;4,1;6,4;3,9
01/02/2026;4,5;8,5;4,1;3,8;6,5;3,5
01/03/2026;4,4;8,5;4,0;3,9;7,4;3,5
