datum,beschftigte_messzahlen_2015100
01/04/2024,104.9
01/05/2024,104.9
01/06/2024,105.3
01/07/2024,104.9
01/08/2024,104.8
01/09/2024,104.8
01/10/2024,105.1
01/11/2024,105.8
01/12/2024,105.7
01/01/2025,104.9
01/02/2025,104.6
01/03/2025,104.7
01/04/2025,105.0
01/05/2025,105.1
01/06/2025,105.0
01/07/2025,104.7
01/08/2025,104.8
01/09/2025,104.9
01/10/2025,104.9
01/11/2025,105.4
01/12/2025,105.2
01/01/2026,103.8
01/02/2026,103.3
01/03/2026,103.3
