date,indicator,value
01/07/2014;754,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,84
01/10/2014;766,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,57
01/01/2015;754,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,36
01/04/2015;756,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,86
01/07/2015;780,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,38
01/10/2015;795,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,88
01/01/2016;781,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,74
01/04/2016;792,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,96
01/07/2016;803,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,31
01/10/2016;817,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,77
01/01/2017;819,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,06
01/04/2017;815,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,78
01/07/2017;839,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,59
01/10/2017;858,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,63
01/01/2018;846,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,06
01/04/2018;847,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,87
01/07/2018;857,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,19
01/10/2018;882,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,65
01/01/2019;873,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,33
01/04/2019;866,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,39
01/07/2019;892,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,79
01/10/2019;904,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,44
01/01/2020;881,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,32
01/04/2020;795,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,24
01/07/2020;871,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,33
01/10/2020;902,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,31
01/01/2021;887,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,68
01/04/2021;896,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,07
01/07/2021;932,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,16
01/10/2021;966,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,72
01/01/2022;973,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,43
01/04/2022;976,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,59
01/07/2022;1002,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,90
01/10/2022;1037,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,53
01/01/2023;1043,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,03
01/04/2023;1031,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,95
01/07/2023;1055,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,95
01/10/2023;1088,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,66
01/01/2024;1071,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,55
01/04/2024;1063,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,28
01/07/2024;1083,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,30
01/10/2024;1110,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,49
01/01/2025;1101,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,88
01/04/2025;1095,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,67
01/07/2025;1120,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,63
01/10/2025;1151,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,88
01/01/2026;1136,saison_und_kalenderbereinigte_werte_nach_x13_jdemetrapreisbereinigt,24
