date,indicator,value
01/02/2014;97,ausruestungen_und_zubehoer,7
01/03/2014;97,ausruestungen_und_zubehoer,8
01/04/2014;97,ausruestungen_und_zubehoer,0
01/05/2014;98,ausruestungen_und_zubehoer,7
01/06/2014;98,ausruestungen_und_zubehoer,1
01/07/2014;99,ausruestungen_und_zubehoer,1
01/08/2014;99,ausruestungen_und_zubehoer,6
01/09/2014;99,ausruestungen_und_zubehoer,4
01/10/2014;99,ausruestungen_und_zubehoer,4
01/11/2014;99,ausruestungen_und_zubehoer,2
01/12/2014;99,ausruestungen_und_zubehoer,4
01/01/2015;98,ausruestungen_und_zubehoer,5
01/02/2015;98,ausruestungen_und_zubehoer,9
01/03/2015;99,ausruestungen_und_zubehoer,8
01/04/2015;99,ausruestungen_und_zubehoer,8
01/05/2015;99,ausruestungen_und_zubehoer,7
01/06/2015;100,ausruestungen_und_zubehoer,5
01/07/2015;100,ausruestungen_und_zubehoer,5
01/08/2015;100,ausruestungen_und_zubehoer,3
01/09/2015;100,ausruestungen_und_zubehoer,8
01/10/2015;100,ausruestungen_und_zubehoer,5
01/11/2015;100,ausruestungen_und_zubehoer,6
01/12/2015;100,ausruestungen_und_zubehoer,2
01/01/2016;99,ausruestungen_und_zubehoer,4
01/02/2016;99,ausruestungen_und_zubehoer,3
01/03/2016;99,ausruestungen_und_zubehoer,5
01/04/2016;100,ausruestungen_und_zubehoer,3
01/05/2016;100,ausruestungen_und_zubehoer,4
01/06/2016;103,ausruestungen_und_zubehoer,8
01/07/2016;103,ausruestungen_und_zubehoer,6
01/08/2016;103,ausruestungen_und_zubehoer,1
01/09/2016;104,ausruestungen_und_zubehoer,6
01/10/2016;103,ausruestungen_und_zubehoer,3
01/11/2016;103,ausruestungen_und_zubehoer,2
01/12/2016;103,ausruestungen_und_zubehoer,8
01/01/2017;107,ausruestungen_und_zubehoer,0
01/02/2017;107,ausruestungen_und_zubehoer,1
01/03/2017;108,ausruestungen_und_zubehoer,2
01/04/2017;108,ausruestungen_und_zubehoer,4
01/05/2017;108,ausruestungen_und_zubehoer,4
01/06/2017;109,ausruestungen_und_zubehoer,0
01/07/2017;109,ausruestungen_und_zubehoer,8
01/08/2017;110,ausruestungen_und_zubehoer,5
01/09/2017;109,ausruestungen_und_zubehoer,0
01/10/2017;109,ausruestungen_und_zubehoer,9
01/11/2017;109,ausruestungen_und_zubehoer,6
01/12/2017;109,ausruestungen_und_zubehoer,3
01/01/2018;108,ausruestungen_und_zubehoer,5
01/02/2018;108,ausruestungen_und_zubehoer,4
01/03/2018;109,ausruestungen_und_zubehoer,5
01/04/2018;110,ausruestungen_und_zubehoer,6
01/05/2018;110,ausruestungen_und_zubehoer,7
01/06/2018;111,ausruestungen_und_zubehoer,7
01/07/2018;111,ausruestungen_und_zubehoer,6
01/08/2018;112,ausruestungen_und_zubehoer,3
01/09/2018;112,ausruestungen_und_zubehoer,8
01/10/2018;112,ausruestungen_und_zubehoer,6
01/11/2018;112,ausruestungen_und_zubehoer,7
01/12/2018;112,ausruestungen_und_zubehoer,5
01/01/2019;112,ausruestungen_und_zubehoer,7
01/02/2019;112,ausruestungen_und_zubehoer,8
01/03/2019;112,ausruestungen_und_zubehoer,9
01/04/2019;113,ausruestungen_und_zubehoer,6
01/05/2019;112,ausruestungen_und_zubehoer,5
01/06/2019;113,ausruestungen_und_zubehoer,4
01/07/2019;113,ausruestungen_und_zubehoer,4
01/08/2019;113,ausruestungen_und_zubehoer,2
01/09/2019;114,ausruestungen_und_zubehoer,9
01/10/2019;114,ausruestungen_und_zubehoer,8
01/11/2019;114,ausruestungen_und_zubehoer,6
01/12/2019;113,ausruestungen_und_zubehoer,4
01/01/2020;113,ausruestungen_und_zubehoer,8
01/02/2020;113,ausruestungen_und_zubehoer,6
01/03/2020;113,ausruestungen_und_zubehoer,5
01/04/2020;112,ausruestungen_und_zubehoer,9
01/05/2020;112,ausruestungen_und_zubehoer,6
01/06/2020;111,ausruestungen_und_zubehoer,4
01/07/2020;112,ausruestungen_und_zubehoer,3
01/08/2020;112,ausruestungen_und_zubehoer,8
01/09/2020;112,ausruestungen_und_zubehoer,5
01/10/2020;112,ausruestungen_und_zubehoer,4
01/11/2020;112,ausruestungen_und_zubehoer,5
01/12/2020;111,ausruestungen_und_zubehoer,0
01/01/2021;110,ausruestungen_und_zubehoer,2
01/02/2021;109,ausruestungen_und_zubehoer,0
01/03/2021;111,ausruestungen_und_zubehoer,9
01/04/2021;111,ausruestungen_und_zubehoer,5
01/05/2021;111,ausruestungen_und_zubehoer,3
01/06/2021;111,ausruestungen_und_zubehoer,0
01/07/2021;112,ausruestungen_und_zubehoer,0
01/08/2021;114,ausruestungen_und_zubehoer,7
01/09/2021;114,ausruestungen_und_zubehoer,9
01/10/2021;115,ausruestungen_und_zubehoer,2
01/11/2021;115,ausruestungen_und_zubehoer,4
01/12/2021;115,ausruestungen_und_zubehoer,1
01/01/2022;118,ausruestungen_und_zubehoer,3
01/02/2022;118,ausruestungen_und_zubehoer,6
01/03/2022;118,ausruestungen_und_zubehoer,6
01/04/2022;119,ausruestungen_und_zubehoer,7
01/05/2022;120,ausruestungen_und_zubehoer,6
01/06/2022;120,ausruestungen_und_zubehoer,6
01/07/2022;120,ausruestungen_und_zubehoer,2
01/08/2022;121,ausruestungen_und_zubehoer,9
01/09/2022;122,ausruestungen_und_zubehoer,7
01/10/2022;122,ausruestungen_und_zubehoer,7
01/11/2022;122,ausruestungen_und_zubehoer,7
01/12/2022;122,ausruestungen_und_zubehoer,8
01/01/2023;122,ausruestungen_und_zubehoer,9
01/02/2023;122,ausruestungen_und_zubehoer,6
01/03/2023;122,ausruestungen_und_zubehoer,0
01/04/2023;122,ausruestungen_und_zubehoer,0
01/05/2023;123,ausruestungen_und_zubehoer,2
01/06/2023;123,ausruestungen_und_zubehoer,9
01/07/2023;123,ausruestungen_und_zubehoer,6
01/08/2023;124,ausruestungen_und_zubehoer,8
01/09/2023;124,ausruestungen_und_zubehoer,7
01/10/2023;124,ausruestungen_und_zubehoer,2
01/11/2023;124,ausruestungen_und_zubehoer,5
01/12/2023;123,ausruestungen_und_zubehoer,2
01/01/2024;123,ausruestungen_und_zubehoer,3
01/02/2024;123,ausruestungen_und_zubehoer,2
01/03/2024;123,ausruestungen_und_zubehoer,1
01/04/2024;124,ausruestungen_und_zubehoer,1
01/05/2024;124,ausruestungen_und_zubehoer,6
01/06/2024;124,ausruestungen_und_zubehoer,4
01/07/2024;124,ausruestungen_und_zubehoer,0
01/08/2024;124,ausruestungen_und_zubehoer,5
01/09/2024;125,ausruestungen_und_zubehoer,0
01/10/2024;125,ausruestungen_und_zubehoer,5
01/11/2024;124,ausruestungen_und_zubehoer,4
01/12/2024;124,ausruestungen_und_zubehoer,7
01/01/2025;123,ausruestungen_und_zubehoer,8
01/02/2025;124,ausruestungen_und_zubehoer,0
01/03/2025;124,ausruestungen_und_zubehoer,2
01/04/2025;125,ausruestungen_und_zubehoer,3
01/05/2025;125,ausruestungen_und_zubehoer,0
01/06/2025;125,ausruestungen_und_zubehoer,0
01/07/2025;125,ausruestungen_und_zubehoer,0
01/08/2025;126,ausruestungen_und_zubehoer,8
01/09/2025;126,ausruestungen_und_zubehoer,3
01/10/2025;126,ausruestungen_und_zubehoer,6
01/11/2025;125,ausruestungen_und_zubehoer,3
01/12/2025;124,ausruestungen_und_zubehoer,6
01/01/2026;125,ausruestungen_und_zubehoer,9
01/02/2026;125,ausruestungen_und_zubehoer,8
01/03/2026;126,ausruestungen_und_zubehoer,6
01/04/2026;127,ausruestungen_und_zubehoer,0
