datum,originalwert_2020100,originalwert_vernderung_gegenber_vorjahresquartal_in_,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_2020100,saison_und_kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorsquartal_in_,kalenderbereinigte_werte_nach_x_13_jdemetra_2020100,kalenderbereinigte_werte_nach_x_13_jdemetra_vernderung_gegenber_vorjahresquartal_in_
01/10/2021,108.0,3.1,103.1,-1.0,109.1,3.3
01/01/2022,94.5,2.3,102.2,-0.9,94.8,2.9
01/04/2022,113.6,6.1,105.1,2.8,113.5,6.1
01/07/2022,98.3,0.7,104.7,-0.4,98.1,0.6
01/10/2022,115.7,7.1,109.1,4.2,115.4,5.8
01/01/2023,98.7,4.4,107.0,-2.0,99.2,4.7
01/04/2023,118.7,4.5,109.3,2.1,117.9,3.9
01/07/2023,103.9,5.7,110.2,0.8,103.2,5.2
01/10/2023,118.8,2.7,111.4,1.1,117.8,2.1
01/01/2024,106.5,7.9,114.4,2.7,106.1,6.9
01/04/2024,124.0,4.5,114.8,0.3,123.9,5.1
01/07/2024,107.9,3.9,115.0,0.2,107.7,4.4
01/10/2024,124.2,4.6,116.4,1.2,123.1,4.5
01/01/2025,109.7,3.0,117.8,1.1,109.3,3.0
01/04/2025,130.4,5.2,119.8,1.7,129.4,4.4
01/07/2025,112.3,4.1,119.9,0.1,112.2,4.2
01/10/2025,127.1,2.3,119.5,-0.3,126.4,2.7
