datum,originalwert_messzahlen_2015100,originalwert_vernderung_gegenber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_vernderung_gegenber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_vernderung_gegenber_vormonat_in_,restkomponente_bv_41
01/10/1999,88.6,0.1,85.5,0.3,86.2,2.4,0.8
01/11/1999,91.9,1.8,85.7,0.3,85.7,-0.6,0.0
01/12/1999,108.9,1.5,85.9,0.3,85.7,0.0,-0.2
01/01/2000,77.4,0.0,86.2,0.3,85.1,-0.7,-1.1
01/02/2000,79.8,7.5,86.5,0.3,88.1,3.6,1.7
01/03/2000,88.5,-2.0,86.7,0.3,85.4,-3.1,-1.3
01/04/2000,86.2,3.5,86.9,0.2,88.1,3.1,1.1
01/05/2000,90.3,10.9,87.1,0.2,88.0,-0.1,0.9
01/06/2000,80.8,-0.6,87.2,0.1,86.6,-1.6,-0.6
01/07/2000,83.5,-1.8,87.4,0.1,86.8,0.2,-0.6
01/08/2000,84.2,5.6,87.5,0.2,87.6,1.0,0.1
01/09/2000,85.6,4.8,87.7,0.2,88.5,1.0,0.8
01/10/2000,88.5,-0.1,87.8,0.1,87.1,-1.6,-0.7
01/11/2000,93.7,2.0,87.9,0.1,87.4,0.3,-0.5
01/12/2000,107.9,-0.9,88.1,0.2,88.1,0.8,-0.0
01/01/2001,82.6,6.7,88.2,0.2,89.2,1.3,1.0
01/02/2001,76.8,-3.8,88.3,0.1,87.6,-1.8,-0.7
01/03/2001,90.7,2.5,88.5,0.1,88.7,1.2,0.2
01/04/2001,87.6,1.6,88.6,0.1,88.5,-0.2,-0.0
01/05/2001,90.4,0.1,88.6,0.0,88.5,0.0,-0.1
01/06/2001,84.2,4.2,88.6,-0.0,89.8,1.4,1.2
01/07/2001,85.5,2.4,88.5,-0.1,88.1,-1.9,-0.4
01/08/2001,85.6,1.7,88.4,-0.1,88.3,0.2,-0.1
01/09/2001,84.4,-1.4,88.2,-0.2,88.1,-0.2,-0.1
01/10/2001,90.3,2.0,88.0,-0.2,87.6,-0.6,-0.4
01/11/2001,95.4,1.8,87.9,-0.2,88.6,1.1,0.7
01/12/2001,106.7,-1.1,87.7,-0.2,88.4,-0.2,0.7
01/01/2002,79.9,-3.3,87.5,-0.2,86.8,-1.8,-0.7
01/02/2002,75.1,-2.2,87.3,-0.2,86.9,0.2,-0.4
01/03/2002,88.0,-3.0,87.2,-0.2,88.1,1.3,0.9
01/04/2002,87.2,-0.5,87.0,-0.2,86.0,-2.3,-1.0
01/05/2002,86.5,-4.3,86.9,-0.2,86.8,0.9,-0.1
01/06/2002,80.9,-3.9,86.7,-0.2,85.9,-1.0,-0.8
01/07/2002,86.3,0.9,86.6,-0.1,87.0,1.3,0.4
01/08/2002,83.6,-2.3,86.5,-0.1,87.2,0.2,0.7
01/09/2002,83.6,-0.9,86.4,-0.2,86.3,-1.0,-0.1
01/10/2002,90.8,0.6,86.3,-0.1,86.7,0.5,0.4
01/11/2002,91.6,-4.0,86.2,-0.1,86.4,-0.4,0.2
01/12/2002,103.9,-2.6,86.1,-0.1,85.8,-0.8,-0.4
01/01/2003,79.4,-0.6,86.1,-0.1,86.0,0.3,-0.1
01/02/2003,74.7,-0.5,86.0,-0.1,86.2,0.2,0.2
01/03/2003,85.1,-3.3,85.9,-0.1,84.8,-1.6,-1.1
