date,indicator,value
01/06/2018;95,2021100bau_von_gebaeuden_2,0
01/07/2018;96,2021100bau_von_gebaeuden_2,1
01/08/2018;96,2021100bau_von_gebaeuden_2,7
01/09/2018;97,2021100bau_von_gebaeuden_2,4
01/10/2018;97,2021100bau_von_gebaeuden_2,6
01/11/2018;97,2021100bau_von_gebaeuden_2,7
01/12/2018;94,2021100bau_von_gebaeuden_2,7
01/01/2019;93,2021100bau_von_gebaeuden_2,1
01/02/2019;93,2021100bau_von_gebaeuden_2,8
01/03/2019;95,2021100bau_von_gebaeuden_2,5
01/04/2019;96,2021100bau_von_gebaeuden_2,6
01/05/2019;97,2021100bau_von_gebaeuden_2,9
01/06/2019;97,2021100bau_von_gebaeuden_2,9
01/07/2019;97,2021100bau_von_gebaeuden_2,6
01/08/2019;98,2021100bau_von_gebaeuden_2,8
01/09/2019;99,2021100bau_von_gebaeuden_2,6
01/10/2019;99,2021100bau_von_gebaeuden_2,9
01/11/2019;98,2021100bau_von_gebaeuden_2,9
01/12/2019;96,2021100bau_von_gebaeuden_2,7
01/01/2020;95,2021100bau_von_gebaeuden_2,8
01/02/2020;96,2021100bau_von_gebaeuden_2,8
01/03/2020;97,2021100bau_von_gebaeuden_2,0
01/04/2020;97,2021100bau_von_gebaeuden_2,1
01/05/2020;98,2021100bau_von_gebaeuden_2,8
01/06/2020;98,2021100bau_von_gebaeuden_2,7
01/07/2020;99,2021100bau_von_gebaeuden_2,3
01/08/2020;100,2021100bau_von_gebaeuden_2,9
01/09/2020;100,2021100bau_von_gebaeuden_2,9
01/10/2020;100,2021100bau_von_gebaeuden_2,0
01/11/2020;100,2021100bau_von_gebaeuden_2,4
01/12/2020;98,2021100bau_von_gebaeuden_2,2
01/01/2021;97,2021100bau_von_gebaeuden_2,2
01/02/2021;97,2021100bau_von_gebaeuden_2,5
01/03/2021;99,2021100bau_von_gebaeuden_2,4
01/04/2021;100,2021100bau_von_gebaeuden_2,6
01/05/2021;100,2021100bau_von_gebaeuden_2,3
01/06/2021;100,2021100bau_von_gebaeuden_2,1
01/07/2021;100,2021100bau_von_gebaeuden_2,7
