arbeitskostenindex,produzierendes_gewerbe_und_dienstleistungsbereiche,index_der_arbeitskosten_insgesamt,col_4,col_5,col_6,col_7
Datum;Originalwert,2020=100;Originalwert,VeränderunggegenüberVorjahresquartalin%;Saison-undkalenderbereinigteWertenachX13JDemetra+,2020=100;Saison-undkalenderbereinigteWertenachX13JDemetra+,VeränderunggegenüberVorsquartalin%;KalenderbereinigteWertenachX13JDemetra+,2020=100;KalenderbereinigteWertenachX13JDemetra+,VeränderunggegenüberVorjahresquartalin%
01/01/2021;92,6;0,0;98,6;-1,3;92,3;-0,4
01/04/2021;106,4;-0,8;99,4;0,8;106,3;-0,2
01/07/2021;97,8;2,2;104,0;4,6;97,7;2,2
01/10/2021;108,1;3,5;103,7;-0,3;109,2;3,8
01/01/2022;96,3;3,9;103,0;-0,6;96,5;4,6
01/04/2022;113,7;6,8;106,1;3,0;113,6;6,8
01/07/2022;100,3;2,6;106,4;0,3;100,1;2,5
01/10/2022;115,8;7,1;109,8;3,1;115,5;5,8
01/01/2023;101,9;5,9;109,3;-0,4;102,5;6,2
01/04/2023;118,6;4,3;110,1;0,7;117,9;3,7
01/07/2023;106,0;5,7;111,8;1,5;105,3;5,1
01/10/2023;120,0;3,7;113,2;1,3;119,1;3,1
01/01/2024;109,2;7,2;116,1;2,5;108,8;6,2
01/04/2024;124,8;5,2;116,5;0,3;124,7;5,8
01/07/2024;110,2;4,0;116,7;0,2;110,0;4,5
01/10/2024;124,3;3,6;117,3;0,5;123,2;3,5
01/01/2025;112,4;2,9;119,4;1,8;111,8;2,8
01/04/2025;130,9;4,9;121,3;1,6;130,1;4,3
01/07/2025;114,6;4,0;121,4;0,0;114,4;4,0
01/10/2025;128,9;3,7;122,1;0,6;128,1;4,0
01/01/2026;115,6;2,9;122,9;0,7;115,1;2,9
01/04/2026;134,8;3,0;124,9;1,6;133,9;3,0
