datum,originalwert_messzahlen_2015100,originalwert_veraenderung_gegenueber_vorjahresmonat_in_,trendkonjunkturkomponente_bv_41_messzahlen_2015100,trendkonjunkturkomponente_bv_41_veraenderung_gegenueber_vormonat_in_,kalender_und_saisonbereinigte_werte_bv_41_messzahlen_2015100,kalender_und_saisonbereinigte_werte_bv_41_veraenderung_gegenueber_vormonat_in_,restkomponente_bv_41
01/11/2000,108.2,2.4,98.3,-0.1,99.4,0.3,1.0
01/12/2000,96.4,-5.7,98.1,-0.3,98.8,-0.6,0.7
01/01/2001,88.5,8.7,97.7,-0.4,98.0,-0.8,0.3
01/02/2001,86.5,-5.9,97.3,-0.5,97.2,-0.9,-0.1
01/03/2001,100.0,-3.0,96.8,-0.5,96.4,-0.8,-0.3
01/04/2001,92.8,-0.3,96.3,-0.5,95.8,-0.7,-0.5
01/05/2001,99.1,-7.1,95.7,-0.5,94.9,-0.9,-0.8
01/06/2001,92.8,-2.6,95.2,-0.5,95.7,0.8,0.5
01/07/2001,93.4,0.5,94.7,-0.6,94.7,-1.0,0.1
01/08/2001,96.1,-3.0,94.1,-0.6,94.4,-0.3,0.3
01/09/2001,93.8,-8.1,93.6,-0.6,93.9,-0.6,0.3
01/10/2001,101.7,-3.1,93.1,-0.5,93.0,-1.0,-0.1
01/11/2001,99.0,-8.5,92.6,-0.5,92.2,-0.8,-0.4
01/12/2001,86.8,-10.0,92.1,-0.5,92.1,-0.1,-0.0
01/01/2002,82.9,-6.3,91.6,-0.5,91.6,-0.6,-0.0
01/02/2002,80.5,-6.9,91.1,-0.5,90.5,-1.2,-0.6
01/03/2002,90.5,-9.5,90.7,-0.5,91.3,0.9,0.7
01/04/2002,93.1,0.3,90.2,-0.5,90.0,-1.5,-0.3
01/05/2002,89.1,-10.1,89.9,-0.4,90.3,0.4,0.5
01/06/2002,87.4,-5.8,89.6,-0.3,88.9,-1.6,-0.7
01/07/2002,92.1,-1.4,89.4,-0.2,89.4,0.6,0.1
01/08/2002,88.1,-8.3,89.2,-0.1,89.3,-0.1,0.1
01/09/2002,90.9,-3.1,89.2,-0.1,89.0,-0.3,-0.2
01/10/2002,97.2,-4.4,89.1,-0.0,89.0,-0.0,-0.1
01/11/2002,91.3,-7.8,89.2,0.1,88.0,-1.2,-1.3
01/12/2002,86.8,0.0,89.3,0.1,89.8,2.0,0.5
01/01/2003,81.7,-1.4,89.4,0.1,89.5,-0.3,0.1
01/02/2003,81.4,1.1,89.5,0.1,90.6,1.3,1.1
01/03/2003,91.0,0.6,89.5,0.0,89.3,-1.4,-0.2
01/04/2003,91.5,-1.7,89.5,0.0,89.7,0.3,0.1
01/05/2003,89.4,0.3,89.6,0.1,89.3,-0.3,-0.3
01/06/2003,87.6,0.2,89.6,0.0,90.3,1.1,0.7
01/07/2003,92.4,0.3,89.7,0.0,89.5,-0.9,-0.1
01/08/2003,85.3,-3.2,89.7,-0.0,89.8,0.3,0.2
01/09/2003,94.1,3.5,89.7,0.0,88.9,-1.1,-0.8
01/10/2003,96.7,-0.5,89.7,0.1,89.5,0.7,-0.2
01/11/2003,91.9,0.7,89.8,0.1,91.2,1.9,1.4
01/12/2003,88.6,2.1,89.9,0.1,89.5,-1.9,-0.4
01/01/2004,80.5,-1.5,90.0,0.1,90.2,0.8,0.2
01/02/2004,81.9,0.6,90.1,0.1,89.3,-1.0,-0.8
01/03/2004,98.5,8.2,90.3,0.2,90.0,0.8,-0.2
01/04/2004,92.4,1.0,90.4,0.2,91.2,1.3,0.8
01/05/2004,87.4,-2.2,90.6,0.2,90.0,-1.4,-0.7
01/06/2004,94.2,7.5,90.9,0.3,90.8,1.0,-0.0
01/07/2004,91.1,-1.4,91.1,0.3,91.4,0.6,0.3
01/08/2004,89.2,4.6,91.4,0.3,91.1,-0.3,-0.3
01/09/2004,98.3,4.5,91.8,0.3,92.4,1.4,0.7
01/10/2004,95.7,-1.0,92.1,0.4,91.9,-0.6,-0.2
01/11/2004,98.7,7.4,92.4,0.3,91.8,-0.2,-0.6
01/12/2004,95.6,7.9,92.8,0.4,91.7,-0.1,-1.1
01/01/2005,83.5,3.7,93.2,0.5,94.0,2.5,0.7
01/02/2005,85.0,3.8,93.7,0.5,94.2,0.3,0.6
01/03/2005,98.1,-0.4,94.0,0.4,94.7,0.4,0.6
01/04/2005,96.3,4.2,94.4,0.4,93.7,-1.0,-0.8
01/05/2005,94.6,8.2,94.8,0.4,95.8,2.2,1.0
01/06/2005,99.2,5.3,95.1,0.4,94.7,-1.1,-0.4
01/07/2005,92.0,1.0,95.4,0.3,95.5,0.8,0.1
01/08/2005,97.2,9.0,95.7,0.3,96.0,0.5,0.3
01/09/2005,101.9,3.7,96.0,0.3,95.8,-0.2,-0.2
01/10/2005,98.3,2.7,96.2,0.2,96.5,0.8,0.3
01/11/2005,103.3,4.7,96.4,0.2,96.0,-0.5,-0.3
01/12/2005,99.8,4.4,96.6,0.2,96.0,-0.1,-0.6
01/01/2006,87.1,4.3,96.9,0.3,96.5,0.6,-0.3
01/02/2006,87.5,2.9,97.2,0.3,97.3,0.8,0.1
01/03/2006,104.8,6.8,97.6,0.4,96.9,-0.5,-0.8
01/04/2006,92.5,-3.9,98.1,0.4,98.5,1.7,0.5
01/05/2006,102.5,8.4,98.5,0.4,98.4,-0.2,-0.1
01/06/2006,98.9,-0.3,98.8,0.4,99.2,0.8,0.3
01/07/2006,95.0,3.3,99.2,0.4,99.1,-0.1,-0.1
01/08/2006,99.9,2.8,99.5,0.3,99.4,0.4,-0.0
01/09/2006,103.4,1.5,99.7,0.2,100.1,0.7,0.4
01/10/2006,104.6,6.4,99.8,0.1,99.9,-0.2,0.0
01/11/2006,107.8,4.4,99.9,0.1,100.7,0.8,0.7
01/12/2006,102.8,3.0,99.9,-0.1,102.5,1.8,2.6
01/01/2007,89.6,2.9,99.7,-0.2,97.9,-4.5,-1.8
01/02/2007,88.3,0.9,99.6,-0.1,98.8,1.0,-0.7
01/03/2007,104.9,0.1,99.5,-0.1,100.1,1.3,0.6
01/04/2007,95.6,3.4,99.5,-0.0,99.3,-0.8,-0.2
01/05/2007,99.4,-3.0,99.5,0.0,99.2,-0.1,-0.3
01/06/2007,98.8,-0.1,99.7,0.1,99.6,0.5,-0.0
01/07/2007,98.8,4.0,99.9,0.2,100.0,0.4,0.2
01/08/2007,99.6,-0.3,100.1,0.2,99.4,-0.6,-0.7
01/09/2007,99.7,-3.6,100.4,0.3,99.0,-0.4,-1.3
01/10/2007,108.8,4.0,100.8,0.4,100.0,1.0,-0.7
01/11/2007,107.5,-0.3,101.2,0.5,100.3,0.2,-0.9
01/12/2007,97.2,-5.4,101.8,0.5,100.7,0.4,-1.0
01/01/2008,97.4,8.7,102.3,0.6,103.9,3.1,1.5
01/02/2008,98.0,11.0,102.9,0.5,103.7,-0.2,0.8
01/03/2008,99.7,-5.0,103.2,0.4,103.5,-0.1,0.3
01/04/2008,108.0,13.0,103.6,0.3,103.7,0.2,0.2
01/05/2008,100.8,1.4,103.7,0.2,104.3,0.5,0.6
01/06/2008,104.0,5.3,103.7,-0.1,103.9,-0.4,0.2
01/07/2008,104.8,6.1,103.4,-0.3,103.1,-0.7,-0.3
01/08/2008,98.2,-1.4,102.9,-0.5,103.3,0.1,0.4
01/09/2008,112.2,12.5,102.2,-0.7,104.2,0.9,2.0
01/10/2008,111.6,2.6,101.2,-1.0,102.4,-1.7,1.2
01/11/2008,102.8,-4.4,100.1,-1.1,100.5,-1.8,0.4
01/12/2008,101.2,4.1,98.9,-1.2,99.6,-0.9,0.7
01/01/2009,85.0,-12.7,97.7,-1.2,93.7,-6.0,-4.0
01/02/2009,84.7,-13.6,96.5,-1.2,95.7,2.2,-0.8
01/03/2009,98.0,-1.7,95.3,-1.2,94.5,-1.3,-0.9
01/04/2009,92.2,-14.6,94.3,-1.1,93.5,-1.0,-0.7
01/05/2009,87.5,-13.2,93.4,-1.0,91.8,-1.9,-1.6
01/06/2009,90.9,-12.6,92.7,-0.7,91.1,-0.7,-1.6
01/07/2009,93.9,-10.4,92.3,-0.4,91.9,0.9,-0.3
01/08/2009,88.0,-10.4,92.2,-0.1,92.4,0.5,0.3
01/09/2009,99.2,-11.6,92.3,0.1,91.1,-1.4,-1.2
01/10/2009,100.8,-9.7,92.7,0.4,92.1,1.2,-0.5
01/11/2009,99.8,-2.9,93.3,0.7,94.0,2.1,0.7
01/12/2009,96.3,-4.8,94.1,0.8,94.0,-0.0,-0.1
01/01/2010,81.0,-4.7,94.9,0.8,94.6,0.6,-0.3
01/02/2010,85.2,0.6,95.7,0.8,95.5,1.0,-0.1
01/03/2010,106.9,9.1,96.4,0.8,99.3,4.0,3.0
01/04/2010,96.4,4.6,97.0,0.6,97.4,-1.9,0.4
01/05/2010,96.3,10.1,97.6,0.6,98.9,1.6,1.4
01/06/2010,103.9,14.3,98.0,0.4,100.0,1.1,2.0
01/07/2010,98.2,4.6,98.3,0.3,98.5,-1.5,0.2
01/08/2010,97.0,10.2,98.6,0.3,98.5,-0.0,-0.1
01/09/2010,106.1,7.0,98.8,0.2,98.8,0.3,0.0
01/10/2010,103.5,2.7,99.0,0.2,98.8,-0.1,-0.3
